 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: São Paulo
Período:2020
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"352620 Juquitiba";0;0;0;0;0;1;0;0;1;1;0;0;3
"352640 Laranjal Paulista";0;0;0;0;0;0;0;0;1;0;0;0;1
"352650 Lavínia";0;0;0;0;0;1;1;0;0;0;0;0;2
"352660 Lavrinhas";0;0;0;0;0;1;0;0;0;0;0;0;1
"352670 Leme";0;0;0;0;0;4;6;7;0;1;0;0;18
"352680 Lençóis Paulista";0;0;0;0;0;2;0;1;1;1;0;0;5
"352690 Limeira";0;0;0;0;1;12;6;7;6;1;1;0;34
"352710 Lins";0;0;0;0;1;1;1;3;3;0;1;0;10
"352720 Lorena";0;0;0;0;0;3;3;0;4;0;0;0;10
"352730 Louveira";0;0;0;0;0;1;2;0;0;0;0;0;3
"352740 Lucélia";0;0;0;0;0;1;2;1;1;1;0;0;6
"352760 Luís Antônio";0;0;0;0;0;1;0;0;0;0;0;0;1
"352810 Macaubal";0;0;0;0;0;0;0;1;0;0;0;0;1
"352840 Mairinque";0;0;0;0;1;1;0;1;4;1;0;0;8
"352850 Mairiporã";0;0;0;0;0;1;4;2;0;0;0;0;7
"352885 Marapoama";0;0;0;0;0;0;0;1;0;0;0;0;1
"352890 Mariápolis";0;0;0;0;0;0;1;0;0;0;0;0;1
"352900 Marília";0;1;0;0;1;4;6;5;3;1;0;0;21
"352920 Martinópolis";0;0;0;0;0;0;1;1;0;0;0;0;2
"352930 Matão";0;0;0;0;0;0;0;1;0;1;0;0;2
"352940 Mauá";0;0;0;0;1;20;18;6;5;4;0;0;54
"353030 Mirassol";0;0;0;0;0;0;2;2;1;0;0;0;5
"353050 Mococa";0;0;0;0;0;1;0;0;1;1;0;0;3
"353060 Mogi das Cruzes";0;0;0;0;0;13;9;9;9;0;0;0;40
"353070 Mogi Guaçu";0;0;0;0;0;7;4;1;4;1;0;0;17
"353080 Moji Mirim";0;0;0;0;0;1;2;1;2;2;0;1;9
"353110 Mongaguá";0;0;0;0;1;4;3;0;2;0;0;0;10
"353120 Monte Alegre do Sul";0;0;0;0;0;0;1;0;0;0;0;0;1
"353150 Monte Azul Paulista";0;0;0;0;0;1;0;0;0;0;0;0;1
"353180 Monte Mor";0;0;0;0;0;4;2;1;1;0;0;0;8
"353190 Morro Agudo";0;0;0;0;0;0;0;0;0;0;1;0;1
"353280 Nova Aliança";0;0;0;0;0;0;0;0;0;1;0;0;1
"353290 Nova Europa";0;0;0;0;0;0;0;0;0;0;0;1;1
"353300 Nova Granada";0;0;0;0;0;0;0;1;0;0;0;0;1
"353340 Nova Odessa";0;0;0;0;0;0;1;1;0;0;0;0;2
"353350 Novo Horizonte";0;0;0;0;0;1;0;1;0;1;0;0;3
"353390 Olímpia";0;0;0;0;1;2;0;2;2;0;0;0;7
"353410 Oriente";0;0;0;0;0;0;1;0;0;0;0;0;1
"353430 Orlândia";0;0;0;0;0;0;1;1;1;0;0;0;3
"353440 Osasco";0;0;0;0;2;21;24;13;7;3;1;0;71
"353470 Ourinhos";0;0;0;0;0;0;3;10;4;1;1;0;19
"353490 Pacaembu";0;0;0;0;0;0;0;1;0;0;0;0;1
"353500 Palestina";0;0;0;0;0;0;1;0;0;0;0;0;1
"353550 Paraguaçu Paulista";0;0;0;0;0;1;3;1;0;0;0;0;5
"353620 Pariquera-Açu";0;0;0;0;0;0;1;0;0;0;0;0;1
"353640 Paulicéia";0;0;0;0;0;0;1;0;0;0;0;0;1
"353650 Paulínia";0;0;0;0;0;4;1;3;5;2;0;0;15
"353660 Paulo de Faria";0;0;0;0;0;0;0;1;0;0;0;0;1
"353710 Pedreira";0;0;0;0;0;3;1;0;0;0;0;0;4
"353730 Penápolis";0;0;0;0;0;0;1;3;0;0;0;0;4
"353740 Pereira Barreto";0;0;0;0;0;0;2;0;0;1;1;0;4
"353760 Peruíbe";0;0;0;0;0;1;0;5;0;1;0;0;7
"353770 Piacatu";0;0;0;0;0;0;1;0;0;0;0;0;1
"353780 Piedade";0;0;0;0;0;0;0;2;0;0;0;0;2
"353800 Pindamonhangaba";0;0;0;0;1;3;2;3;0;1;0;0;10
"353870 Piracicaba";1;0;0;0;0;11;16;8;5;6;1;0;48
"353880 Piraju";0;0;0;0;0;1;0;1;0;0;0;0;2
"353890 Pirajuí";0;0;0;0;0;0;1;0;0;0;0;0;1
"353920 Pirapozinho";0;0;0;0;0;0;0;3;0;0;0;0;3
"353930 Pirassununga";0;0;0;0;0;3;3;1;1;0;1;0;9
"353950 Pitangueiras";0;0;0;0;0;1;1;0;0;0;0;0;2
"353980 Poá";0;0;0;0;0;3;0;1;2;0;0;0;6
"354000 Pompéia";0;0;0;0;0;1;0;0;0;0;0;0;1
"354020 Pontal";0;0;0;0;0;0;0;0;0;1;0;0;1
"354060 Porto Feliz";0;0;0;0;0;3;0;1;0;1;0;0;5
"354070 Porto Ferreira";0;0;0;0;0;1;0;0;0;1;0;0;2
"354075 Potim";0;0;0;0;0;1;1;1;0;1;0;0;4
"354085 Pracinha";0;0;0;0;0;1;0;1;0;0;0;0;2
"354090 Pradópolis";0;0;0;0;0;0;1;1;0;0;0;0;2
"354100 Praia Grande";0;0;0;0;2;13;15;9;4;2;0;0;45
"354105 Pratânia";0;0;0;0;0;0;0;0;1;0;0;0;1
"354120 Presidente Bernardes";0;0;0;0;0;0;1;0;0;0;0;0;1
"354130 Presidente Epitácio";0;0;0;0;0;0;1;2;0;0;0;0;3
"354140 Presidente Prudente";0;0;0;0;0;14;13;14;3;1;1;0;46
"354150 Presidente Venceslau";0;0;0;0;0;2;0;2;1;0;1;0;6
"354160 Promissão";0;0;0;0;0;0;1;0;0;1;0;0;2
"354220 Rancharia";0;0;0;0;0;0;1;0;1;0;0;0;2
"354240 Regente Feijó";0;0;0;0;0;0;0;2;1;0;0;0;3
"354260 Registro";0;0;0;0;0;1;2;0;5;2;0;0;10
"354300 Ribeirão Branco";0;0;0;0;0;1;0;0;0;0;0;0;1
"354330 Ribeirão Pires";0;0;0;0;0;1;1;2;3;1;1;0;9
"354340 Ribeirão Preto";0;0;0;0;3;35;32;22;10;2;0;0;104
"354380 Rinópolis";0;0;0;0;0;1;0;1;0;0;0;0;2
"354390 Rio Claro";0;0;0;0;0;7;8;4;3;2;0;0;24
