 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Minas Gerais
Período:2024
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"314760 Passa Quatro";0;0;0;0;0;0;1;1;0;0;0;0;2
"314790 Passos";0;0;0;0;0;5;2;8;4;1;1;0;21
"314800 Patos de Minas";0;0;0;0;0;11;6;5;4;2;0;0;28
"314810 Patrocínio";0;0;0;0;0;3;1;1;1;0;0;0;6
"314930 Pedro Leopoldo";0;0;0;0;0;1;2;1;1;0;0;0;5
"314950 Pequeri";0;0;0;0;0;0;0;0;0;1;0;0;1
"314990 Perdões";0;0;0;0;0;0;0;1;0;0;0;0;1
"314995 Periquito";0;0;0;0;0;2;0;0;0;0;0;0;2
"315040 Piedade dos Gerais";0;0;0;0;0;1;0;0;0;0;0;0;1
"315050 Pimenta";0;0;0;0;0;0;0;0;1;0;0;0;1
"315057 Pintópolis";0;0;0;0;0;1;0;0;0;0;0;0;1
"315070 Pirajuba";0;0;0;0;1;1;0;1;0;0;0;0;3
"315100 Piranguinho";0;0;0;0;0;0;0;1;0;0;0;0;1
"315120 Pirapora";0;0;0;0;0;3;4;2;2;0;0;0;11
"315150 Piumhi";0;0;0;0;0;0;1;0;0;0;0;0;1
"315180 Poços de Caldas";0;0;0;0;0;3;9;5;4;1;0;0;22
"315200 Pompéu";0;0;0;0;0;1;0;1;1;0;0;0;3
"315210 Ponte Nova";0;0;0;0;0;3;0;6;1;0;0;0;10
"315220 Porteirinha";0;0;0;0;0;0;0;0;1;1;0;0;2
"315240 Poté";0;0;0;0;0;0;1;1;0;0;0;0;2
"315250 Pouso Alegre";0;0;0;1;0;9;10;8;3;2;0;0;33
"315280 Prata";0;0;0;0;0;0;1;0;1;0;1;0;3
"315340 Presidente Olegário";0;0;0;0;0;1;0;0;0;0;0;0;1
"315390 Raposos";0;0;0;0;0;0;0;0;1;0;0;0;1
"315400 Raul Soares";0;0;0;0;0;0;1;0;0;1;0;0;2
"315410 Recreio";0;0;0;0;0;0;1;0;0;0;0;0;1
"315415 Reduto";0;0;0;0;0;0;1;0;0;0;0;0;1
"315430 Resplendor";0;0;0;0;0;0;1;0;0;0;0;0;1
"315460 Ribeirão das Neves";0;0;0;0;0;12;13;9;11;5;0;0;50
"315490 Rio Casca";0;0;0;0;0;0;0;1;0;0;0;0;1
"315560 Rio Pardo de Minas";0;0;0;0;0;1;0;0;0;0;0;0;1
"315660 Rubim";0;0;0;0;0;0;1;0;0;0;0;0;1
"315670 Sabará";0;0;0;0;1;6;6;6;5;0;0;0;24
"315710 Salto da Divisa";0;0;0;0;0;0;1;0;1;0;0;0;2
"315720 Santa Bárbara";0;0;0;0;0;0;0;0;2;0;0;0;2
"315730 Santa Bárbara do Tugúrio";0;0;0;0;0;0;0;1;0;0;0;0;1
"315780 Santa Luzia";0;0;0;0;1;8;4;6;2;0;0;0;21
"315960 Santa Rita do Sapucaí";0;0;0;0;0;0;0;1;0;0;0;0;1
"315980 Santa Vitória";0;0;0;0;0;0;0;0;1;0;0;0;1
"316040 Santo Antônio do Monte";0;0;0;0;0;0;1;0;0;0;0;0;1
"316100 São Domingos do Prata";0;0;0;0;0;0;0;0;1;0;0;0;1
"316110 São Francisco";0;0;0;0;0;1;0;0;0;0;0;0;1
"316180 São Gonçalo do Pará";0;0;0;0;0;0;1;0;0;0;0;0;1
"316190 São Gonçalo do Rio Abaixo";0;0;0;0;0;1;0;0;0;0;0;0;1
"316200 São Gonçalo do Sapucaí";0;0;0;0;0;0;1;0;0;0;0;0;1
"316210 São Gotardo";0;0;0;0;0;2;1;3;0;1;0;0;7
"316220 São João Batista do Glória";0;0;0;0;0;0;0;1;0;0;0;0;1
"316240 São João da Ponte";0;0;0;0;0;0;1;0;0;0;0;0;1
"316250 São João del Rei";0;0;0;0;0;2;2;2;2;0;0;0;8
"316292 São Joaquim de Bicas";0;0;0;0;0;4;3;1;2;0;0;0;10
"316295 São José da Lapa";0;0;0;0;0;0;0;1;1;0;0;0;2
"316370 São Lourenço";0;0;0;0;0;2;7;1;2;0;0;0;12
"316470 São Sebastião do Paraíso";0;0;0;0;0;1;0;2;1;0;0;0;4
"316500 São Tiago";0;0;0;0;0;0;1;0;0;0;0;0;1
"316540 Sapucaí-Mirim";0;0;0;0;0;0;0;1;0;0;0;0;1
"316557 Senador Amaral";0;0;0;0;0;0;1;0;0;0;0;0;1
"316650 Serra Azul de Minas";0;0;0;0;1;0;0;0;0;0;0;0;1
"316720 Sete Lagoas";0;0;0;0;1;17;20;17;10;8;0;0;73
"316760 Simonésia";0;0;0;0;0;0;0;0;1;0;0;0;1
"316770 Sobrália";0;0;0;0;0;0;0;1;0;0;0;0;1
"316780 Soledade de Minas";0;0;0;0;0;0;0;1;0;0;0;0;1
"316800 Taiobeiras";0;0;0;0;0;0;0;0;0;0;1;0;1
