 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: São Paulo
Período:2019
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"354260 Registro";0;1;1;0;0;2;1;0;1;6
"354330 Ribeirão Pires";0;1;1;2;1;2;1;1;1;10
"354340 Ribeirão Preto";1;2;2;14;14;15;26;8;10;92
"354390 Rio Claro";0;1;1;4;0;0;6;2;1;15
"354400 Rio das Pedras";0;0;0;1;0;0;0;0;0;1
"354410 Rio Grande da Serra";0;0;1;0;0;0;2;0;1;4
"354420 Riolândia";0;0;0;1;0;0;0;0;0;1
"354515 Saltinho";0;0;0;0;0;0;1;0;0;1
"354520 Salto";1;0;1;3;1;2;5;1;1;15
"354580 Santa Bárbara d'Oeste";1;0;2;2;2;1;8;0;1;17
"354600 Santa Branca";0;1;0;0;0;0;0;0;0;1
"354610 Santa Clara d'Oeste";0;1;0;0;0;0;0;0;0;1
"354620 Santa Cruz da Conceição";0;0;0;1;0;0;0;0;0;1
"354630 Santa Cruz das Palmeiras";1;0;0;0;0;0;1;0;0;2
"354640 Santa Cruz do Rio Pardo";0;0;0;0;0;0;1;0;1;2
"354660 Santa Fé do Sul";0;0;0;0;0;1;2;1;1;5
"354680 Santa Isabel";0;0;1;0;1;0;0;0;0;2
"354740 Santa Rita d'Oeste";0;0;0;0;1;0;0;0;0;1
"354760 Santa Rosa de Viterbo";0;0;0;2;0;0;0;0;0;2
"354730 Santana de Parnaíba";0;1;0;0;0;2;1;1;1;6
"354770 Santo Anastácio";0;0;0;0;0;1;0;0;0;1
"354780 Santo André";0;5;3;4;5;9;27;11;12;76
"354810 Santo Antônio do Jardim";0;0;0;0;0;1;0;0;0;1
"354850 Santos";0;5;2;6;5;5;10;1;7;41
"354870 São Bernardo do Campo";0;2;2;14;4;15;46;6;11;100
"354880 São Caetano do Sul";0;1;0;0;0;2;11;1;6;21
"354890 São Carlos";0;4;1;2;1;9;9;2;1;29
"354910 São João da Boa Vista";2;1;0;1;1;0;2;0;1;8
"354970 São José do Rio Pardo";0;1;0;1;1;0;1;0;0;4
"354980 São José do Rio Preto";2;4;3;15;8;14;47;7;26;126
"354990 São José dos Campos";0;3;1;4;6;8;12;2;3;39
"355000 São Luís do Paraitinga";0;0;0;0;0;0;0;0;1;1
"355030 São Paulo";13;72;46;217;170;253;658;180;352;1961
"355040 São Pedro";0;0;1;0;0;1;0;1;0;3
"355060 São Roque";0;0;0;0;1;0;0;0;1;2
"355070 São Sebastião";0;0;1;1;1;2;0;0;0;5
"355100 São Vicente";0;2;3;8;4;7;20;2;4;50
"355140 Serra Azul";0;0;0;0;0;1;0;0;0;1
"355150 Serrana";0;0;0;0;0;0;1;0;0;1
"355170 Sertãozinho";0;1;0;0;0;1;5;0;1;8
"355200 Silveiras";0;0;0;1;0;0;0;0;0;1
"355220 Sorocaba";1;10;5;13;8;5;40;8;10;100
"355240 Sumaré";0;0;0;2;2;2;5;0;2;13
"355250 Suzano";0;2;0;5;1;2;12;0;2;24
"355260 Tabapuã";0;0;0;0;0;0;1;0;0;1
"355280 Taboão da Serra";0;5;1;6;3;1;7;4;4;31
"355310 Taiaçu";0;0;0;0;0;0;1;0;1;2
"355330 Tambaú";0;0;0;1;0;0;0;0;0;1
"355340 Tanabi";0;0;0;0;0;0;1;0;0;1
"355370 Taquaritinga";1;0;0;2;0;0;1;0;1;5
"355380 Taquarituba";0;0;0;0;0;0;0;0;1;1
"355385 Taquarivaí";0;1;0;1;0;0;0;0;0;2
"355395 Tarumã";0;0;0;0;0;0;1;0;0;1
"355400 Tatuí";0;2;0;3;2;4;2;0;1;14
"355410 Taubaté";0;3;0;3;3;3;17;1;1;31
"355430 Teodoro Sampaio";0;0;1;0;0;0;0;0;0;1
"355450 Tietê";0;0;0;1;0;0;1;0;0;2
"355480 Tremembé";0;0;0;0;2;1;1;1;0;5
"355500 Tupã";1;3;1;4;1;4;1;0;2;17
"355510 Tupi Paulista";0;0;1;0;1;0;0;0;0;2
"355540 Ubatuba";1;3;0;0;3;1;6;0;0;14
"355600 Urupês";0;0;0;0;0;0;1;0;0;1
"355610 Valentim Gentil";0;0;0;0;0;0;1;0;1;2
"355620 Valinhos";0;1;1;2;2;0;0;0;1;7
"355630 Valparaíso";0;0;1;1;0;0;0;0;0;2
"355640 Vargem Grande do Sul";0;1;0;0;0;0;1;0;1;3
"355645 Vargem Grande Paulista";0;0;0;0;0;0;2;0;0;2
"355650 Várzea Paulista";0;1;0;0;0;1;2;0;1;5
"355670 Vinhedo";0;0;0;0;0;0;3;0;0;3
"355700 Votorantim";0;2;0;1;0;2;7;1;1;14
"355710 Votuporanga";0;0;1;2;0;0;3;0;0;6
"Total";52;277;169;678;473;646;1674;340;738;5047
