 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Minas Gerais
Período:2017
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"ignorado";"Total"
"314620 Ouro Verde de Minas";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"314630 Padre Paraíso";0;0;0;0;0;0;2;1;0;2;0;0;0;5
"314690 Papagaios";0;0;0;0;0;0;1;1;0;0;0;0;0;2
"314710 Pará de Minas";0;0;0;0;0;4;1;0;0;0;0;0;0;5
"314700 Paracatu";0;0;0;0;0;0;3;3;0;0;0;0;0;6
"314720 Paraguaçu";0;0;0;0;0;0;0;1;1;0;0;0;0;2
"314730 Paraisópolis";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"314740 Paraopeba";0;0;0;0;0;2;3;1;2;0;0;0;0;8
"314760 Passa Quatro";0;0;0;0;0;1;0;0;0;1;0;0;0;2
"314790 Passos";0;0;0;0;0;1;1;6;1;1;2;0;0;12
"314800 Patos de Minas";0;0;0;0;0;5;5;5;3;1;0;0;0;19
"314810 Patrocínio";0;0;0;0;0;2;1;0;1;0;0;0;0;4
"314850 Pavão";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"314870 Pedra Azul";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"314930 Pedro Leopoldo";0;0;0;0;0;1;2;1;0;0;0;0;0;4
"314960 Pequi";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"314980 Perdizes";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"315050 Pimenta";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"315060 Piracema";0;0;0;0;0;0;2;0;0;0;0;0;0;2
"315120 Pirapora";0;0;0;0;0;2;6;0;2;0;0;0;0;10
"315140 Pitangui";0;0;0;0;0;1;1;0;0;0;0;0;0;2
"315150 Piumhi";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"315160 Planura";0;0;0;0;0;0;1;1;0;0;0;0;0;2
"315180 Poços de Caldas";0;0;0;0;0;2;3;6;2;0;0;0;0;13
"315200 Pompéu";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"315210 Ponte Nova";0;0;0;0;0;3;4;1;0;0;1;0;0;9
"315250 Pouso Alegre";0;0;0;0;1;11;12;3;1;1;0;0;0;29
"315270 Prados";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"315280 Prata";0;0;0;0;1;0;0;1;0;0;0;0;0;2
"315290 Pratápolis";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"315340 Presidente Olegário";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"315360 Prudente de Morais";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"315390 Raposos";0;0;0;0;0;1;1;0;0;0;0;0;0;2
"315410 Recreio";0;0;0;0;1;0;0;0;0;0;0;0;0;1
"315420 Resende Costa";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"315460 Ribeirão das Neves";0;0;0;0;1;13;6;12;9;1;0;0;0;42
"315480 Rio Acima";0;0;0;0;0;0;0;0;0;1;0;0;0;1
"315490 Rio Casca";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"315520 Rio Espera";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"315550 Rio Paranaíba";0;0;0;0;0;2;0;1;1;0;0;0;0;4
