regiao,uf,cod_ibge,municipio,ano_diagnostico,Branca,Preta,Amarela,Parda,Indígena,Ignorado,2023,analfabeto,1ª a 4ª série incompleta,4ª série completa,5ª a 8ª série incompleta,fundamental completo,médio incompleto,médio completo,superior incompleto,superior completo,nao_informado
NORDESTE,BA,355000.0,São Luís do Paraitinga,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355030.0,São Paulo,2021,1093.0,244.0,32.0,860.0,6.0,15.0,,,,,,,,,,,0.0
NORDESTE,BA,355040.0,São Pedro,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355060.0,São Roque,2021,5.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355070.0,São Sebastião,2021,3.0,1.0,0.0,5.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355100.0,São Vicente,2021,15.0,4.0,1.0,23.0,0.0,2.0,,,,,,,,,,,0.0
NORDESTE,BA,355160.0,Serra Negra,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355150.0,Serrana,2021,1.0,0.0,1.0,2.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355170.0,Sertãozinho,2021,14.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355190.0,Severínia,2021,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355200.0,Silveiras,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355210.0,Socorro,2021,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355220.0,Sorocaba,2021,80.0,6.0,0.0,25.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355230.0,Sud Mennucci,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355240.0,Sumaré,2021,14.0,1.0,0.0,9.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355250.0,Suzano,2021,15.0,5.0,0.0,18.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355270.0,Tabatinga,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355280.0,Taboão da Serra,2021,19.0,3.0,1.0,19.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355290.0,Taciba,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355310.0,Taiaçu,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355370.0,Taquaritinga,2021,6.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355390.0,Tarabai,2021,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355395.0,Tarumã,2021,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355400.0,Tatuí,2021,16.0,2.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,355410.0,Taubaté,2021,39.0,3.0,0.0,5.0,0.0,1.0,,,,,,,,,,,0.0
NORDESTE,BA,355430.0,Teodoro Sampaio,2021,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
