 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: São Paulo
Período:2025
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"354880 São Caetano do Sul";0;0;2;0;1;1;6;1;3;14
"354890 São Carlos";1;1;0;3;2;8;6;0;7;28
"354910 São João da Boa Vista";0;0;1;4;0;0;1;1;0;7
"354970 São José do Rio Pardo";0;1;1;0;0;0;1;0;1;4
"354980 São José do Rio Preto";3;1;1;10;7;9;21;3;8;63
"354990 São José dos Campos";1;1;1;2;4;3;25;3;11;51
"355030 São Paulo";68;39;24;116;80;201;428;84;206;1246
"355040 São Pedro";0;1;0;2;0;1;0;0;0;4
"355050 São Pedro do Turvo";0;0;0;0;0;0;1;0;0;1
"355060 São Roque";0;0;0;0;1;0;2;0;0;3
"355070 São Sebastião";1;0;0;2;2;1;0;0;4;10
"355100 São Vicente";1;0;0;2;8;0;17;1;2;31
"355160 Serra Negra";1;0;0;0;0;0;1;0;0;2
"355170 Sertãozinho";0;0;0;0;1;1;1;0;0;3
"355220 Sorocaba";1;6;2;3;4;15;17;4;11;63
"355240 Sumaré";0;0;1;4;0;4;3;0;1;13
"355250 Suzano";1;0;0;2;2;3;8;0;6;22
"355260 Tabapuã";0;0;0;1;0;0;0;0;0;1
"355270 Tabatinga";0;0;1;1;0;0;1;0;0;3
"355280 Taboão da Serra";0;1;0;1;2;4;5;1;0;14
"355390 Tarabai";0;0;1;0;0;0;0;0;0;1
"355400 Tatuí";0;0;1;0;1;4;1;0;1;8
"355410 Taubaté";0;1;0;2;0;8;7;0;6;24
"355450 Tietê";0;0;0;0;0;1;0;0;0;1
"355480 Tremembé";0;0;0;1;0;0;0;0;0;1
"355500 Tupã";0;0;1;1;0;2;0;0;0;4
"355510 Tupi Paulista";0;0;0;0;1;0;1;0;0;2
"355540 Ubatuba";1;0;0;0;0;0;1;0;0;2
"355620 Valinhos";0;0;0;1;0;2;1;0;1;5
"355630 Valparaíso";0;0;0;0;1;0;0;0;0;1
"355640 Vargem Grande do Sul";0;0;0;2;0;0;1;0;0;3
"355645 Vargem Grande Paulista";1;0;0;0;0;0;0;0;0;1
"355650 Várzea Paulista";0;0;0;1;0;0;1;0;0;2
"355660 Vera Cruz";0;0;0;0;0;0;0;0;1;1
"355670 Vinhedo";0;0;0;0;0;1;2;1;0;4
"355700 Votorantim";3;0;0;0;0;1;3;0;1;8
"355710 Votuporanga";0;0;0;2;2;1;2;0;0;7
"Total";154;106;63;384;245;532;1155;174;504;3317
